date,location,target,assay,conc,type,frequency,lod
2021-10-19,outlet,mcye_ndaf,toxins,4375.386097773617,passive,weekly,260
2021-10-26,inlet,total_cyano,16s rrna,80355.71273299794,grab,weekly,180
2021-10-26,outlet,total_cyano,16s rrna,150684.57968210863,grab,weekly,180
2021-10-26,outlet,total_cyano,16s rrna,259130.09089151834,passive,weekly,260
2021-10-26,inlet,total_cyano,16s rrna,248619.15602020096,passive,bi-weekly,260
2021-10-26,outlet,total_cyano,16s rrna,576830.0932060746,passive,bi-weekly,260
2021-10-26,inlet,total_cyano,16s rrna,242864.9568110182,passive,weekly,260
2021-10-26,outlet,cyra,toxins,573.8506217533344,passive,weekly,260
2021-10-26,outlet,cyra,toxins,NA,passive,bi-weekly,260
2021-10-26,outlet,cyra,toxins,41.08560245265787,grab,weekly,180
2021-10-26,inlet,cyra,toxins,NA,grab,weekly,180
2021-10-26,outlet,sxta,toxins,NA,passive,weekly,260
2021-10-26,outlet,sxta,toxins,NA,passive,bi-weekly,260
2021-10-26,outlet,sxta,toxins,NA,grab,weekly,180
2021-10-26,inlet,sxta,toxins,NA,grab,weekly,180
2021-10-26,outlet,mcye_ndaf,toxins,6.986397020516909,passive,weekly,260
2021-10-26,outlet,mcye_ndaf,toxins,4209.467028556275,passive,bi-weekly,260
2021-10-26,outlet,mcye_ndaf,toxins,9305.410531566742,grab,weekly,180
2021-10-26,inlet,mcye_ndaf,toxins,168.39049698465678,grab,weekly,180
2021-11-02,inlet,total_cyano,16s rrna,147609.86616817524,passive,weekly,260
